Name;Length (km);Diameter (m);From;To;;;
A555E;11.58;1.04;BAL_M;S-243;;;
A555F;4.11;1.04;S-243;S-488B;;;
A559-01A;0.07;0.44;H_002;H_003;;;
A559-01B;1.49;0.44;H_003;S-113A;;;
A559-08A;1.28;0.39;S-303;EUR;;;
A559-08B;0.24;0.39;EUR;H_001;;;
A559A;3.6;0.89;S-488B;S-731;;;
A559B;7.22;0.89;S-731;S-558;;;
A559C;5.68;0.89;S-558;S-303;;;
A559D;1.89;0.89;S-303;H_002;;;
A624-02;4;0.44;S-686B;H_007;;;
A624-08A;2.03;0.11;H_008;S-852;;;
A624-10C;0.15;0.31;S-852;VIS-0452;;;
A624-10D;1.33;0.31;VIS-0452;S-875;;;
A624-10E;1.39;0.31;S-875;S-686C;;;
A624-10F;3.84;0.31;S-686C;S-489B;;;
A624-13A;0.04;0.39;VIS-0123;S-888;;;
A624-13B;3.93;0.49;S-888;S-879A;;;
A624-14;0.4;0.21;S-888;H_004;;;
A624-15A;0.03;0.26;S-879A;S-862;;;
A624-15B;0.16;0.21;S-862;S-885;;;
A624-15C;0.04;0.26;S-885;S-884;;;
A624-15D;0.09;0.21;S-884;H_005;;;
A624-18;2.87;1.19;VIS-0237;S-868;;;
A624-19A;1.32;0.89;S-868;VIS-0245;;;
A624-19B;1.96;0.89;VIS-0245;S-877;;;
A624-20;0.47;0.39;S-877;H_006;;;
A624A;1.44;0.89;H_009;S-677A;;;
A624B;0.27;0.89;S-677A;S-797;;;
A624C;3.22;0.89;S-797;S-025;;;
A624D;1.34;0.89;S-025;S-021;;;
A624E;1.32;0.89;S-021;S-686B;;;
A624F;6.58;0.89;S-686B;VIS-0237;;;
A624G;19.01;0.89;VIS-0237;VIS-0123;;;
A624H;1.62;0.89;VIS-0123;S-861A;;;
A624I;1.32;0.89;S-861A;S-678A;;;
A624J;0.95;0.89;S-678A;S-826B;;;
A-DVRTL;0.001;1;S-678B;S-113C;;;
BPEUP;7.5;0.58;W1_003;W1_002;;;
EUPPER;7.5;0.58;W1_002;W1_001;;;
HTL_HW1;6.58;0.89;HW_007;HW_006;;;
HTL_HW10;4.11;1.04;SYS00010;SYS00012;;;
HTL_HW11;11.58;1.04;SYS00012;SYS00014;;;
HTL_HW2;19.01;0.89;HW_006;HW_005;;;
HTL_HW3;0.001;0.89;HW_005;HW_004;;;
HTL_HW4;1.32;0.89;HW_004;SYS00006;;;
HTL_HW5;0.95;0.89;SYS00006;HW_003;;;
HTL_HW5A;0.001;0.89;HW_003;HW_002;;;
HTL_HW6;1.89;0.89;HW_002;HW_001;;;
HTL_HW7;5.68;0.89;HW_001;SYS00007;;;
HTL_HW8;7.22;0.89;SYS00007;SYS00008;;;
HTL_HW9;3.6;0.89;SYS00008;SYS00010;;;
MVL2BP;7.5;0.58;W1_004;W1_003;;;
PERWIJN;40;0.89;W1_001;BAL_H;;;
W504-01E;1.63;0.3;S-5429;VIS-0072;;;
W504-01F;0.07;0.3;VIS-0072;S-5624H;;;
W504-17A;0.13;0.31;S-5624H;R2_002;;;
W504-17B;0.1;0.31;R2_002;S-5548A;;;
W504-17C;0.03;0.31;S-5548A;S-2250B;;;
W505-01A;0.09;0.3;S-5429;S-5436;;;
W505-01B;0.07;0.3;S-5436;S-5536A;;;
W505-01C;0.51;0.31;S-5536B;S-5537;;;
W505-01D;0.06;0.3;S-5537;R3_002;;;
W505-01E;0.65;0.3;R3_002;S-5551D;;;
W505-01F;1.27;0.3;S-5551D;S-5620B;;;
W505-01G;1.48;0.3;S-5620B;S-5446A;;;
W505-01H;0.99;0.3;S-5446A;R3_003;;;
W505-01I;0.42;0.3;R3_003;S-5439;;;
W505-01J;0.79;0.3;S-5439;R3_004;;;
W505-01K;0.42;0.3;R3_004;S-5564B;;;
W537-01!;2.23;0.31;S-5653;S-2018;;;
W537-01*;1.26;0.31;S-5652;S-5653;;;
W537-01A;0.47;0.39;S-5536;S-5537A;;;
W537-01B;0.26;0.39;S-5537A;S-5677C;;;
W537-01D;0.27;0.44;S-5677A;S-5677B;;;
W537-01E;0.07;0.59;S-5677B;S-5677C;;;
W537-01F;0.2;0.39;S-5677C;S-5538;;;
W537-01G;0.58;0.39;S-5538;S-5551A;;;
W537-01H;1.26;0.39;S-5551A;R1_001;;;
W537-01I;0.72;0.39;R1_001;R1_002;;;
W537-01J;0.76;0.39;R1_002;R1_003;;;
W537-01K;1.44;0.39;R1_003;S-5539;;;
W537-01M;0.59;0.39;S-5560;R2_004;;;
W537-01O;1.62;0.39;R2_004;S-5549A;;;
W537-01P;0.78;0.39;S-5549A;S-5542B;;;
W537-01Q;0.76;0.39;S-5542B;S-5543A;;;
W537-01R;1.14;0.39;S-5543A;R2_005;;;
W537-01S;1.04;0.39;R2_005;VIS-0259;;;
W537-01T;1.01;0.39;VIS-0259;S-5559;;;
W537-01U;0.45;0.39;S-5559;S-5545A;;;
W537-01V;0.92;0.31;S-5545A;R2_006;;;
W537-01W;2.7;0.31;R2_006;S-5611;;;
W537-01X;1.53;0.31;S-5611;S-5662B;;;
W537-01Y;0.91;0.31;S-5662B;S-5652;;;
W537-01Z;0.6;0.31;S-5662B;S-5662A;;;
W537-02A;1.52;0.39;S-5624D;S-5574;;;
W537-02B;0.07;0.39;S-5574;S-5621;;;
W537-02C;0.23;0.39;S-5621;S-5536B;;;
W537-10A;0.04;0.31;S-5560;S-5665;;;
W537-10B;0.02;0.31;S-5665;S-5561B;;;
W537-12A;0.02;0.21;SYS00002;R3_005;;;
W537-12B;0.26;0.21;R3_005;S-5564B;;;
W537-25A;0.15;0.31;S-5624C;S-5547B;;;
W537-25B;0.05;0.31;S-5547B;S-5548B;;;
W537-25C;0.02;0.31;S-5548B;S-2250B;;;
W537-44A;1.64;0.59;P230;S-5639;;;
W537-44B;0.16;0.59;S-5639;S-5536;;;
W537-46A;0.51;0.21;S-5537C;S-5645B;;;
W537-46B;0.18;0.21;S-5645B;R2_003;;;
W537-47A;0.07;0.31;S-5536A;S-5629;;;
W537-47B;0.43;0.16;S-5629;S-5630;;;
W537-47C;0.14;0.31;S-5630;S-5537C;;;
W537-50A;2.16;0.21;S-5536C;R3_001;;;
W537-59A;0.18;0.31;S-5635A;S-5649;;;
W537-59B;0.63;0.31;S-5649;S-5651;;;
W537-59C;0.41;0.31;S-5651;S-6454;;;
W537-59D;0.09;0.31;S-6454;R2_001;;;
W537-60A;0.53;0.21;S-5652;S-5626;;;
W537-60B;0.31;0.21;S-5626;R2_007;;;
W537-62;2.19;0.39;S-5536;S-5635A;;;
W537-72A;0.81;0.31;S-5545B;R1_005;;;
W537-91;0.42;0.16;S-5629;S-5630;;;
W537-92A;0.78;0.39;S-5539;S-5566;;;
W537-92B;0.39;0.39;S-5566;R1_004;;;
W537-92C;0.004;0.39;R1_004;VIS0546A;;;
W537-92D;3.37;0.31;VIS0546B;S-6466;;;
W544-01D;0.18;0.31;S-6466;P-0439;;;
W544-01E;0.29;0.2;P-0439;P-0650;;;
W544-01F;3.51;0.31;P-0650;P-0651;;;
W544-01G;0.49;0.31;P-0651;S-5545B;;;
